Дата начала обработки;GUID ЕВА клиента;GUID услуги;Номер заявки;Путь к файлу;ID файла в СХФ;Папка файла в СХФ;BN_DKBO0130;BN_DKBO0132;BN_DKBO0059;BN_DKBO0048;BN_DKBO0076;BN_DKBO0134;EDO0042;EDO0043;EDO0019;BK1381;BK1444;DU0107;DU0080;BN_DKBO0390;PD0075;PD0084;PD0085;Завершена обработка
2025-08-15T16:47:10;9010A115-1CC7-4308-BFC6-C013F300E37D;"[{""service_guid"":""23918516-3D04-4A53-A081-C66072B91D6F"",""service_type"":1},{""service_guid"":""93F4E368-0B57-4292-8098-66D4396823A4"",""service_type"":2}]";122477108;C:\Users\svc-Robot-958\AppData\Roaming\RPA-958\b1b29234-994e-4ef8-a55e-f4c4205df93f\11_122477108_uvedomlenie3_343501523804.jpg;5716b7b1-5ba7-4484-8327-45b855303d89;CLIENTS_DOCS_REG;;;;;;;;;;;;;;;;;;
2025-08-15T16:47:10;9010A115-1CC7-4308-BFC6-C013F300E37D;"[{""service_guid"":""23918516-3D04-4A53-A081-C66072B91D6F"",""service_type"":1},{""service_guid"":""93F4E368-0B57-4292-8098-66D4396823A4"",""service_type"":2}]";122477108;C:\Users\svc-Robot-958\AppData\Roaming\RPA-958\b1b29234-994e-4ef8-a55e-f4c4205df93f\12_122477108_uvedomlenie4_343501523804.jpg;93a1e754-c55c-4a47-a37c-5b35be1592ea;CLIENTS_DOCS_REG;;;;;;;;;;;;;;;;;;
2025-08-15T16:47:10;9010A115-1CC7-4308-BFC6-C013F300E37D;"[{""service_guid"":""23918516-3D04-4A53-A081-C66072B91D6F"",""service_type"":1},{""service_guid"":""93F4E368-0B57-4292-8098-66D4396823A4"",""service_type"":2}]";122477108;C:\Users\svc-Robot-958\AppData\Roaming\RPA-958\b1b29234-994e-4ef8-a55e-f4c4205df93f\10_122477108_uvedomlenie2_343501523804.jpg;59c6e220-7f95-4fbd-a54b-3ccfc26f3844;CLIENTS_DOCS_REG;;;;;;;;;;;;;;;;;;
2025-08-15T16:47:10;9010A115-1CC7-4308-BFC6-C013F300E37D;"[{""service_guid"":""23918516-3D04-4A53-A081-C66072B91D6F"",""service_type"":1},{""service_guid"":""93F4E368-0B57-4292-8098-66D4396823A4"",""service_type"":2}]";122477108;C:\Users\svc-Robot-958\AppData\Roaming\RPA-958\b1b29234-994e-4ef8-a55e-f4c4205df93f\09_122477108_uvedomlenie1_343501523804.jpg;6cd8aa5d-d667-4497-a5f6-3aa9a2ab857c;CLIENTS_DOCS_REG;;;;;;;;;;;;;;;;;;
